country,year,average_life_expectancy_region,average_iq_region,average_gdp_region,region123,calori_avg1,avg_calorie
Algeria,2019,77.1,76.0,4150.0,Rest Africa,3806.83,3322.0
Angola,2019,63.1,75.1,2570.0,Rest Africa,3806.83,2385.0
Argentina,2019,76.6,86.63,12700.0,South American,4420.76,3307.0
Australia,2019,83.0,99.24,58900.0,Australian,3077.94,3391.0
Austria,2019,81.6,98.38,46600.0,Deutschland,3960.89,3695.0
Bangladesh,2019,74.3,74.33,1560.0,Indian Subcontinent,2830.23,2563.0
Belarus,2019,74.8,101.6,6260.0,Eastern European,4108.86,3270.0
Belgium,2019,81.4,97.49,43100.0,Belgian,4409.46,3769.0
Benin,2019,63.4,69.71,1150.0,Rest Africa,3806.83,2755.0
Bolivia,2019,72.1,76.53,3240.0,South American,4420.76,2412.0
Botswana,2019,62.2,69.45,6490.0,Rest Africa,3806.83,2342.0
Brazil,2019,75.9,83.38,8590.0,South American,4420.76,3301.0
Bulgaria,2019,75.1,90.99,8230.0,Eastern European,4108.86,2854.0
Burkina Faso,2019,62.7,73.8,716.0,Rest Africa,3806.83,2737.0
Burundi,2019,63.8,72.09,270.0,Rest Africa,3806.83,
Cameroon,2019,62.4,67.76,1450.0,Rest Africa,3806.83,2733.0
Canada,2019,82.2,99.52,45100.0,Canadian,3463.97,3566.0
Central African Republic,2019,53.1,62.55,381.0,Rest Africa,3806.83,1786.0
Chad,2019,59.6,78.87,653.0,Rest Africa,3806.83,2115.0
Chile,2019,80.7,87.89,13800.0,South American,4420.76,3029.0
China,2019,77.4,104.1,10200.0,Chinese and Mongolian,3665.43,3206.0
Colombia,2019,79.3,83.13,6400.0,South American,4420.76,3114.0
Costa Rica,2019,80.8,88.34,12700.0,Central American,3795.24,3029.0
Cuba,2019,77.8,83.9,8040.0,Caribbean,3691.78,3344.0
Denmark,2019,81.3,97.83,57200.0,Scandinavian,4395.05,3401.0
Djibouti,2019,65.8,68.41,2820.0,Rest Africa,3806.83,2694.0
Ecuador,2019,78.4,78.26,5860.0,South American,4420.76,2606.0
Egypt,2019,71.8,76.32,3770.0,Middle Eastern,4012.9,3292.0
Ethiopia,2019,68.7,68.42,785.0,Rest Africa,3806.83,2338.0
Finland,2019,81.6,101.2,46100.0,Scandinavian,4395.05,3343.0
France,2019,82.5,96.69,38800.0,French,3346.19,3502.0
Gabon,2019,66.5,62.97,6890.0,Rest Africa,3806.83,2633.0
Germany,2019,81.7,100.74,43300.0,Deutschland,3960.89,3554.0
Ghana,2019,66.3,58.16,1980.0,Rest Africa,3806.83,3035.0
Greece,2019,81.1,90.77,19000.0,Greek,3637.82,3382.0
Guatemala,2019,72.0,47.72,4260.0,Central American,3795.24,2551.0
Guinea,2019,61.0,53.48,938.0,Rest Africa,3806.83,2746.0
Guyana,2019,65.7,83.23,6350.0,South American,4420.76,2913.0
Haiti,2019,64.1,82.1,1390.0,Caribbean,3691.78,2121.0
