country,year,life_expectancy,average_iq,gdp,region,calori_avg
Algeria,2019,77.1,76.0,4150.0,Rest Africa,3806.83
Angola,2019,63.1,75.1,2570.0,Rest Africa,3806.83
Argentina,2019,76.6,86.63,12700.0,South American,4420.76
Australia,2019,83.0,99.24,58900.0,Australian,3077.94
Austria,2019,81.6,98.38,46600.0,Deutschland,3960.89
Bangladesh,2019,74.3,74.33,1560.0,Indian Subcontinent,2830.23
Belarus,2019,74.8,101.6,6260.0,Eastern European,4108.86
Belgium,2019,81.4,97.49,43100.0,Belgian,4409.46
Benin,2019,63.4,69.71,1150.0,Rest Africa,3806.83
Bolivia,2019,72.1,76.53,3240.0,South American,4420.76
Botswana,2019,62.2,69.45,6490.0,Rest Africa,3806.83
Brazil,2019,75.9,83.38,8590.0,South American,4420.76
Bulgaria,2019,75.1,90.99,8230.0,Eastern European,4108.86
Burkina Faso,2019,62.7,73.8,716.0,Rest Africa,3806.83
Burundi,2019,63.8,72.09,270.0,Rest Africa,3806.83
Cameroon,2019,62.4,67.76,1450.0,Rest Africa,3806.83
Canada,2019,82.2,99.52,45100.0,Canadian,3463.97
Central African Republic,2019,53.1,62.55,381.0,Rest Africa,3806.83
Chad,2019,59.6,78.87,653.0,Rest Africa,3806.83
Chile,2019,80.7,87.89,13800.0,South American,4420.76
China,2019,77.4,104.1,10200.0,Chinese and Mongolian,3665.43
Colombia,2019,79.3,83.13,6400.0,South American,4420.76
Costa Rica,2019,80.8,88.34,12700.0,Central American,3795.24
Cuba,2019,77.8,83.9,8040.0,Caribbean,3691.78
Denmark,2019,81.3,97.83,57200.0,Scandinavian,4395.05
Djibouti,2019,65.8,68.41,2820.0,Rest Africa,3806.83
Ecuador,2019,78.4,78.26,5860.0,South American,4420.76
Egypt,2019,71.8,76.32,3770.0,Middle Eastern,4012.9
Ethiopia,2019,68.7,68.42,785.0,Rest Africa,3806.83
Finland,2019,81.6,101.2,46100.0,Scandinavian,4395.05
France,2019,82.5,96.69,38800.0,French,3346.19
Gabon,2019,66.5,62.97,6890.0,Rest Africa,3806.83
